2025-02-09 17:42:59,059 - WARNING - Пропускаем запись с serialno: S120, начинается на 'S'.
2025-02-09 17:42:59,060 - WARNING - Пропускаем запись с serialno: S47, начинается на 'S'.
2025-02-09 17:42:59,061 - WARNING - Пропускаем запись с serialno: S152, начинается на 'S'.
2025-02-09 17:42:59,062 - WARNING - Пропускаем запись с serialno: S223, начинается на 'S'.
2025-02-09 17:42:59,063 - WARNING - Пропускаем запись с serialno: S98, начинается на 'S'.
2025-02-09 17:42:59,065 - WARNING - Пропускаем запись с serialno: S23, начинается на 'S'.
2025-02-09 17:42:59,066 - WARNING - Пропускаем запись с serialno: S95, начинается на 'S'.
2025-02-09 17:42:59,066 - WARNING - Пропускаем запись с serialno: S182, начинается на 'S'.
2025-02-09 17:42:59,067 - WARNING - Пропускаем запись с serialno: S110, начинается на 'S'.
2025-02-09 17:42:59,068 - WARNING - Пропускаем запись с serialno: S44, начинается на 'S'.
2025-02-09 17:42:59,069 - WARNING - Пропускаем запись с serialno: S49, начинается на 'S'.
2025-02-09 17:42:59,070 - WARNING - Пропускаем запись с serialno: S63, начинается на 'S'.
2025-02-09 17:42:59,071 - WARNING - Пропускаем запись с serialno: S20, начинается на 'S'.
2025-02-09 17:42:59,074 - WARNING - Пропускаем запись с serialno: S96, начинается на 'S'.
2025-02-09 17:42:59,075 - WARNING - Пропускаем запись с serialno: S162, начинается на 'S'.
2025-02-09 17:42:59,077 - WARNING - Пропускаем запись с serialno: S213, начинается на 'S'.
2025-02-09 17:42:59,078 - WARNING - Пропускаем запись с serialno: S81, начинается на 'S'.
2025-02-09 17:42:59,082 - WARNING - Пропускаем запись с serialno: S113, начинается на 'S'.
2025-02-09 17:42:59,087 - WARNING - Пропускаем запись с serialno: S37, начинается на 'S'.
2025-02-09 17:42:59,090 - WARNING - Пропускаем запись с serialno: S10, начинается на 'S'.
2025-02-09 17:42:59,091 - WARNING - Пропускаем запись с serialno: S53, начинается на 'S'.
2025-02-09 17:42:59,092 - WARNING - Пропускаем запись с serialno: S79, начинается на 'S'.
2025-02-09 17:42:59,094 - WARNING - Пропускаем запись с serialno: S74, начинается на 'S'.
2025-02-09 17:42:59,095 - WARNING - Пропускаем запись с serialno: S161, начинается на 'S'.
2025-02-09 17:42:59,096 - WARNING - Пропускаем запись с serialno: S210, начинается на 'S'.
2025-02-09 17:42:59,097 - WARNING - Пропускаем запись с serialno: S118, начинается на 'S'.
2025-02-09 17:42:59,098 - WARNING - Пропускаем запись с serialno: S116, начинается на 'S'.
2025-02-09 17:42:59,099 - WARNING - Пропускаем запись с serialno: S215, начинается на 'S'.
2025-02-09 17:42:59,100 - WARNING - Пропускаем запись с serialno: S164, начинается на 'S'.
2025-02-09 17:42:59,101 - WARNING - Пропускаем запись с serialno: S115, начинается на 'S'.
