2025-07-08 17:03:58,624 - WARNING - Пропускаем запись с serialno: S175, начинается на 'S'.
2025-07-08 17:03:58,624 - WARNING - Пропускаем запись с serialno: S90, начинается на 'S'.
2025-07-08 17:03:58,625 - WARNING - Пропускаем запись с serialno: S26, начинается на 'S'.
2025-07-08 17:03:58,625 - WARNING - Пропускаем запись с serialno: S102, начинается на 'S'.
2025-07-08 17:03:58,626 - WARNING - Пропускаем запись с serialno: S42, начинается на 'S'.
2025-07-08 17:03:58,626 - WARNING - Пропускаем запись с serialno: S201, начинается на 'S'.
2025-07-08 17:03:58,627 - WARNING - Пропускаем запись с serialno: S170, начинается на 'S'.
2025-07-08 17:03:58,627 - WARNING - Пропускаем запись с serialno: S68, начинается на 'S'.
2025-07-08 17:03:58,627 - WARNING - Пропускаем запись с serialno: S65, начинается на 'S'.
2025-07-08 17:03:58,628 - WARNING - Пропускаем запись с serialno: S55, начинается на 'S'.
2025-07-08 17:03:58,628 - WARNING - Пропускаем запись с serialno: S58, начинается на 'S'.
2025-07-08 17:03:58,629 - WARNING - Пропускаем запись с serialno: S101, начинается на 'S'.
2025-07-08 17:03:58,629 - WARNING - Пропускаем запись с serialno: S72, начинается на 'S'.
2025-07-08 17:03:58,630 - WARNING - Пропускаем запись с serialno: S202, начинается на 'S'.
2025-07-08 17:03:58,630 - WARNING - Пропускаем запись с serialno: S31, начинается на 'S'.
2025-07-08 17:03:58,630 - WARNING - Пропускаем запись с serialno: S173, начинается на 'S'.
2025-07-08 17:03:58,631 - WARNING - Пропускаем запись с serialno: S87, начинается на 'S'.
2025-07-08 17:03:58,631 - WARNING - Пропускаем запись с serialno: S16, начинается на 'S'.
2025-07-08 17:03:58,632 - WARNING - Пропускаем запись с serialno: S131, начинается на 'S'.
2025-07-08 17:03:58,632 - WARNING - Пропускаем запись с serialno: S71, начинается на 'S'.
2025-07-08 17:03:58,632 - WARNING - Пропускаем запись с serialno: S56, начинается на 'S'.
2025-07-08 17:03:58,633 - WARNING - Пропускаем запись с serialno: S89, начинается на 'S'.
2025-07-08 17:03:58,633 - WARNING - Пропускаем запись с serialno: S15, начинается на 'S'.
2025-07-08 17:03:58,634 - WARNING - Пропускаем запись с serialno: S193, начинается на 'S'.
2025-07-08 17:03:58,634 - WARNING - Пропускаем запись с serialno: S32, начинается на 'S'.
2025-07-08 17:03:58,635 - WARNING - Пропускаем запись с serialno: S143, начинается на 'S'.
2025-07-08 17:03:58,635 - WARNING - Пропускаем запись с serialno: S232, начинается на 'S'.
2025-07-08 17:03:58,635 - WARNING - Пропускаем запись с serialno: S84, начинается на 'S'.
2025-07-08 17:03:58,636 - WARNING - Пропускаем запись с serialno: S18, начинается на 'S'.
2025-07-08 17:03:58,636 - WARNING - Пропускаем запись с serialno: S28, начинается на 'S'.
2025-07-08 17:03:58,636 - WARNING - Пропускаем запись с serialno: S132, начинается на 'S'.
2025-07-08 17:03:58,637 - WARNING - Пропускаем запись с serialno: S93, начинается на 'S'.
2025-07-08 17:03:58,637 - WARNING - Пропускаем запись с serialno: S25, начинается на 'S'.
2025-07-08 17:03:58,638 - WARNING - Пропускаем запись с serialno: S190, начинается на 'S'.
2025-07-08 17:03:58,638 - WARNING - Пропускаем запись с serialno: S66, начинается на 'S'.
2025-07-08 17:03:58,639 - WARNING - Пропускаем запись с serialno: S41, начинается на 'S'.
2025-07-08 17:03:58,639 - WARNING - Пропускаем запись с serialno: S140, начинается на 'S'.
2025-07-08 17:03:58,640 - WARNING - Пропускаем запись с serialno: S231, начинается на 'S'.
2025-07-08 17:03:58,640 - WARNING - Пропускаем запись с serialno: S2, начинается на 'S'.
2025-07-08 17:03:58,640 - WARNING - Пропускаем запись с serialno: S139, начинается на 'S'.
2025-07-08 17:03:58,641 - WARNING - Пропускаем запись с serialno: S137, начинается на 'S'.
2025-07-08 17:03:58,641 - WARNING - Пропускаем запись с serialno: S145, начинается на 'S'.
2025-07-08 17:03:58,642 - WARNING - Пропускаем запись с serialno: S234, начинается на 'S'.
2025-07-08 17:03:58,642 - WARNING - Пропускаем запись с serialno: S195, начинается на 'S'.
2025-07-08 17:03:58,642 - WARNING - Пропускаем запись с serialno: S134, начинается на 'S'.
2025-07-08 17:03:58,643 - WARNING - Пропускаем запись с serialno: S146, начинается на 'S'.
2025-07-08 17:03:58,643 - WARNING - Пропускаем запись с serialno: S198, начинается на 'S'.
2025-07-08 17:03:58,644 - WARNING - Пропускаем запись с serialno: S1, начинается на 'S'.
2025-07-08 17:03:58,644 - WARNING - Пропускаем запись с serialno: S148, начинается на 'S'.
2025-07-08 17:03:58,645 - WARNING - Пропускаем запись с serialno: S196, начинается на 'S'.
2025-07-08 17:04:00,541 - INFO - Обновлено 185 записей в OlapCube_VNV.
